Title,Translated title,Published,Source Name,Source Type,URL,PDF URL,Policy Document ID,Policy Document DOIs,PDF Document ID,Matched Reference Type,Matched News ID,Matched Policy Document ID,Matched DOI,Matched Person,Page,Matched Snippet,Matched Policy Document Title,Matched Departments
"Dates, number and values of contracts awarded to Te Punaha Matatini (OIA-20210123)",,2021-08-31,New Zealand Treasury,government,https://treasury.govt.nz/publications/oia-response/dates-number-and-values-contracts-awarded-te-punaha-matatini-oia-20210123,https://www.treasury.govt.nz/sites/default/files/2022-02/oia-20210123.pdf#page=1,treasurynz-f6686492d28494cdb79b3cf2a9518b9e,,treasurynz-f6686492d28494cdb79b3cf2a9518b9e-626ff73b5a5fe5145e0d83da4c8d285d,full text search,,,,,1,"Reference: 20210123 16 April 2021 Dear Thank you for your Official Information Act request, received on 30 March 2021. You requested: can you please provide me with the dates of and the number of contracts for Covid-19 related work the government has awarded with Te Punaha Matatini. And can you please disclose the value of each of those contracts",,
"Dates, number and values of contracts awarded to Te Punaha Matatini (OIA-20210123)",,2021-08-31,New Zealand Treasury,government,https://treasury.govt.nz/publications/oia-response/dates-number-and-values-contracts-awarded-te-punaha-matatini-oia-20210123,https://www.treasury.govt.nz/sites/default/files/2022-02/oia-20210123.pdf#page=1,treasurynz-f6686492d28494cdb79b3cf2a9518b9e,,treasurynz-f6686492d28494cdb79b3cf2a9518b9e-626ff73b5a5fe5145e0d83da4c8d285d,full text search,,,,,1,contracts. Can you also detail the sourcing process undertaken for each such contract with Te Punaha Matatini; were government procurement rules followed? And can you provide me with any reports and or communications between officials and or ministers concerning the Treasurys or any other government departments internal capacity to produce mathematical modelling to inform New Zealands Covid-19 response. I am refusing your request under section 18e of the Official Information Act on the grounds that the,,
"Dates, number and values of contracts awarded to Te Punaha Matatini (OIA-20210123)",,2021-08-31,New Zealand Treasury,government,https://treasury.govt.nz/publications/oia-response/dates-number-and-values-contracts-awarded-te-punaha-matatini-oia-20210123,https://www.treasury.govt.nz/sites/default/files/2022-02/oia-20210123.pdf#page=1,treasurynz-f6686492d28494cdb79b3cf2a9518b9e,,treasurynz-f6686492d28494cdb79b3cf2a9518b9e-626ff73b5a5fe5145e0d83da4c8d285d,full text search,,,,,1,"the documents alleged to contain the information requested do not exist or, despite reasonable efforts to locate them, cannot be found. The Treasury does not have any information on contracts awarded to Te Punaha Matatini. Therefore, the Treasury does not have any information on: the sourcing process for the contracts in question, or whether Government procurement rules were followed. Please note that this letter with your personal details removed and enclosed documents may",,
Responses to Official Information Requests - February 2023,,2023-09-13,Department of the Prime Minister and Cabinet,government,https://www.dpmc.govt.nz/publications/responses-official-information-requests-february-2023,https://www.dpmc.govt.nz/sites/default/files/2023-09/dpmc-roia-oia-2022-23-0410.pdf#page=4,dpmcnz-4f8874bb198d1cc5b83b5f4749a62182,,dpmcnz-4f8874bb198d1cc5b83b5f4749a62182-ab8944ef609d46228f064987b51f44ac,full text search,,,,,4,"briefing session for Disinformation Project/TPM, Ill attend on behalf of the project. Ng? mihi s92a Project Lead, The Disinformation Project Co-Lead, Equity and Diversity Community of Interest, Te P?naha Matatini Principal Investigator Te P?naha Matatini Te P?naha Matatini PhD Candidate Centre for Science in Society s92gii From: Covid-19 System Assurance <Covid-19.systemassurancedpmc.govt.nz> Date: Monday, 28 February 2022 at 12:17 PM Subject: RFP Disinformation",,
Responses to Official Information Requests - February 2023,,2023-09-13,Department of the Prime Minister and Cabinet,government,https://www.dpmc.govt.nz/publications/responses-official-information-requests-february-2023,https://www.dpmc.govt.nz/sites/default/files/2023-09/dpmc-roia-oia-2022-23-0410.pdf#page=6,dpmcnz-4f8874bb198d1cc5b83b5f4749a62182,,dpmcnz-4f8874bb198d1cc5b83b5f4749a62182-ab8944ef609d46228f064987b51f44ac,full text search,,,,,6,"As you can see below, sent at 2.45 this afternoon. Have a great weekend, Ng? mihi s92a Project Lead, The Disinformation Project Co-Lead, Equity and Diversity Community of Interest, Te P?naha Matatini Principal Investigator Te P?naha Matatini Te P?naha Matatini PhD Candidate Centre for Science in Society s92gii From: s92a Date: Friday, 25 March 2022 at 2:45 PM To: 19.systemassurancedpmc.govt <19.systemassurancedpmc.govt> Subject: Attached - RfP Online Harms",,
Responses to Official Information Requests - February 2023,,2023-09-13,Department of the Prime Minister and Cabinet,government,https://www.dpmc.govt.nz/publications/responses-official-information-requests-february-2023,https://www.dpmc.govt.nz/sites/default/files/2023-09/dpmc-roia-oia-2022-23-0410.pdf#page=6,dpmcnz-4f8874bb198d1cc5b83b5f4749a62182,,dpmcnz-4f8874bb198d1cc5b83b5f4749a62182-ab8944ef609d46228f064987b51f44ac,full text search,,,,,6,"Noho ora mai, s92a Released under the Official Information Act 1982 Ng? mihi s92a Project Lead, The Disinformation Project Co-Lead, Equity and Diversity Community of Interest, Te P?naha Matatini Principal Investigator Te P?naha Matatini Te P?naha Matatini PhD Candidate Centre for Science in Society s92gii Instructions for Respondents 1. Check that you have all the relevant documents, including: The Request for Proposals",,
Responses to Official Information Requests - February 2023,,2023-09-13,Department of the Prime Minister and Cabinet,government,https://www.dpmc.govt.nz/publications/responses-official-information-requests-february-2023,https://www.dpmc.govt.nz/sites/default/files/2023-09/dpmc-roia-oia-2022-23-0410.pdf#page=33,dpmcnz-4f8874bb198d1cc5b83b5f4749a62182,,dpmcnz-4f8874bb198d1cc5b83b5f4749a62182-ab8944ef609d46228f064987b51f44ac,full text search,,,,,33,"the group email to deliver this material to? I invoiced last week - I will resend and cc you s92gii Ng? mihi s92a Director and Founder, the Disinformation Project s92a Principal Investigator Te P?naha Matatini s92a Released under the Official Information Act 1982",,
,,2019-06-04,Motu,think tank,https://www.motu.nz/our-research/environment-and-resources/emission-mitigation/international-greenhouse-gas-mitigation/financial-transfers-and-climate-cooperation/,http://motu-www.motu.org.nz/wpapers/19_04.pdf#page=1,moturesearch-0be1f3734235f78d0035cda803ab1936,,moturesearch-0be1f3734235f78d0035cda803ab1936-eadf7558eca1b29e4a61e6985b3dd1d8,full text search,,,,,1,"Policy Research March 2019 Document information Author contact details Suzi Kerr Environmental Defense Fund, Motu Economic and Public Policy Research, and Te Punaha Matatini skerredf.org Steffen Lippert University of Auckland and Te Punaha Matatini s.lippertauckland.ac.nz Edmund Lou Motu Economic and Public Policy Research and Northwestern University edmund.lounorthwestern.edu Acknowledgements This study was carried out with",,
,,2019-06-04,Motu,think tank,https://www.motu.nz/our-research/environment-and-resources/emission-mitigation/international-greenhouse-gas-mitigation/financial-transfers-and-climate-cooperation/,http://motu-www.motu.org.nz/wpapers/19_04.pdf#page=2,moturesearch-0be1f3734235f78d0035cda803ab1936,,moturesearch-0be1f3734235f78d0035cda803ab1936-eadf7558eca1b29e4a61e6985b3dd1d8,full text search,,,,,2,"with the support of the RD Program for Forest Science Technology Project No. 2017048A00-1818-BB01 provided by Korea Forest Service Korea Forestry Promotion Institute and the support of Te P?naha Matatini Centre for Research Excellence. We thank Murali Agastya, Jay Pil Choi, Simona Fabrizi, Takako Fujiwara-Greve, Bård Harstad, Kai Konrad, Rogerio Mazali, José Rodrigues-Neto, Agnieszka Rusinowska, Isabelle Sin, James Taylor as well as participants at the 2018 PET and SAET and 2019 AETW conferences",,
Financial transfers and climate cooperation,,2019-03-27,Analysis & Policy Observatory,other,https://apo.org.au/node/239331,https://apo.org.au/sites/default/files/resource-files/2019-03/apo-nid239331.pdf#page=1,apo-55b612e97064f4ee9cd9401798b71a18,,apo-55b612e97064f4ee9cd9401798b71a18-bdb44b652377859e2682c223932161d4,full text search,,,,,1,"Policy Research March 2019 Document information Author contact details Suzi Kerr Environmental Defense Fund, Motu Economic and Public Policy Research, and Te Punaha Matatini skerredf.org Steffen Lippert University of Auckland and Te Punaha Matatini s.lippertauckland.ac.nz Edmund Lou Motu Economic and Public Policy Research and Northwestern University edmund.lounorthwestern.edu Acknowledgements This study was carried out with",,
Financial transfers and climate cooperation,,2019-03-27,Analysis & Policy Observatory,other,https://apo.org.au/node/239331,https://apo.org.au/sites/default/files/resource-files/2019-03/apo-nid239331.pdf#page=2,apo-55b612e97064f4ee9cd9401798b71a18,,apo-55b612e97064f4ee9cd9401798b71a18-bdb44b652377859e2682c223932161d4,full text search,,,,,2,"with the support of the RD Program for Forest Science Technology Project No. 2017048A00-1818-BB01 provided by Korea Forest Service Korea Forestry Promotion Institute and the support of Te P?naha Matatini Centre for Research Excellence. We thank Murali Agastya, Jay Pil Choi, Simona Fabrizi, Takako Fujiwara-Greve, Bård Harstad, Kai Konrad, Rogerio Mazali, José Rodrigues-Neto, Agnieszka Rusinowska, Isabelle Sin, James Taylor as well as participants at the 2018 PET and SAET and 2019 AETW conferences",,
Mahi Tahi 3 – Annual report 2021,,2021-07-16,Office of the Prime Minister’s Chief Science Advisor,government,https://www.pmcsa.ac.nz/files/2021/07/Mahi-Tahi-3-web-small.pdf,https://www.pmcsa.ac.nz/files/2021/07/Mahi-Tahi-3-web-small.pdf#page=18,pmcsa-c58d394d15f3d12222ef1bf678391903,,pmcsa-c58d394d15f3d12222ef1bf678391903-c58d394d15f3d12222ef1bf678391903,full text search,,,,,18,"honour of 2021 New Zealander of the Year. Page 17 Office of the Prime Ministers Chief Science Advisor 2021 ANNUAL REPORT Right: The Te P?naha Matatini team with the PM and the Hon Dr Megan Woods, Minister for Science, Research and Innovation. Far right: Te P?naha Matatini director Shaun Hendy poses with the gong for the 2020 Prime Ministers Science Prize. Her work provided support, strength and clarity across New Zealand and beyond, representing",,
Mahi Tahi 3 – Annual report 2021,,2021-07-16,Office of the Prime Minister’s Chief Science Advisor,government,https://www.pmcsa.ac.nz/files/2021/07/Mahi-Tahi-3-web-small.pdf,https://www.pmcsa.ac.nz/files/2021/07/Mahi-Tahi-3-web-small.pdf#page=19,pmcsa-c58d394d15f3d12222ef1bf678391903,,pmcsa-c58d394d15f3d12222ef1bf678391903-c58d394d15f3d12222ef1bf678391903,full text search,,,,,19,"seen by millions and even used by governments and organisations as part of their official pandemic communications, said Miriama Kamo, patron of the awards. Prime Ministers Science Prize 2020: Te P?naha Matatini The multidisciplinary research team and centre of research excellence Te P?naha Matatini TPM was selected as the 2020 winner of the Prime Ministers Science Prize for their COVID-19 modelling work. The TPM team rapidly developed new mathematical models to analyse potential",,
Mahi Tahi 3 – Annual report 2021,,2021-07-16,Office of the Prime Minister’s Chief Science Advisor,government,https://www.pmcsa.ac.nz/files/2021/07/Mahi-Tahi-3-web-small.pdf,https://www.pmcsa.ac.nz/files/2021/07/Mahi-Tahi-3-web-small.pdf#page=19,pmcsa-c58d394d15f3d12222ef1bf678391903,,pmcsa-c58d394d15f3d12222ef1bf678391903-c58d394d15f3d12222ef1bf678391903,full text search,,,,,19,"COVID-19 pandemic progressed. These models were instrumental in informing Aotearoa New Zealands policy response to COVID-19. Professor Shaun Hendy, Director of Te P?naha Matatini, was also recognised in the 2021 New Year Honours List, being appointed a Member of the New Zealand Order of Merit for services to science. Te P?naha Matatini has been instrumental in New Zealands COVID-19 strategy. They have worked with policymakers to make a difference and also put an emphasis on communication and a transdisciplinary",,
Mahi Tahi 3 – Annual report 2021,,2021-07-16,Office of the Prime Minister’s Chief Science Advisor,government,https://www.pmcsa.ac.nz/files/2021/07/Mahi-Tahi-3-web-small.pdf,https://www.pmcsa.ac.nz/files/2021/07/Mahi-Tahi-3-web-small.pdf#page=17,pmcsa-c58d394d15f3d12222ef1bf678391903,,pmcsa-c58d394d15f3d12222ef1bf678391903-c58d394d15f3d12222ef1bf678391903,full text search,,,,,17,"practices especially vaccine uptake, if Aotearoa New Zealand is to fully reopen to the international community. It is great to see local researchers working on this issue, with cultural historian Kate Hannah leading a project on disinformation at Te P?naha Matatini. Looking to the future, Aotearoa New Zealand has put in place strong, science-based institutions to manage the pandemic and the Office will continue to support and work with them to ensure we remain the best place to be in a pandemic.",,
Probability of elimination for COVID-19 in Aotearoa New Zealand,,2020-06-05,Analysis & Policy Observatory,other,https://apo.org.au/node/306164,https://apo.org.au/sites/default/files/resource-files/2020-06/apo-nid306164.pdf#page=1,apo-7dc0f608f0d27834cba838947e9112a2,,apo-7dc0f608f0d27834cba838947e9112a2-9a658e7db91e86ab38330a56c3b867d8,full text search,,,,,1,Te P?naha Matatini,,
Probability of elimination for COVID-19 in Aotearoa New Zealand,,2020-06-05,Analysis & Policy Observatory,other,https://apo.org.au/node/306164,https://apo.org.au/sites/default/files/resource-files/2020-06/apo-nid306164.pdf#page=1,apo-7dc0f608f0d27834cba838947e9112a2,,apo-7dc0f608f0d27834cba838947e9112a2-9a658e7db91e86ab38330a56c3b867d8,full text search,,,,,1,"1. Manaaki Whenua, Lincoln, New Zealand. 2. School of Mathematics and Statistics University of Canterbury, New Zealand. 3. Department of Physics, University of Auckland, New Zealand. 4. Te P?naha Matatini: the Centre for Complex Systems and Networks, New Zealand. Executive Summary Our model of COVID-19 spread estimates that after 2-3 weeks of no new reported cases, there is a 95 probability that COVID-19 has been eliminated in New Zealand. A 95 probability of elimination is achieved",,
COVID-19,,2020-05-01,Office of the Prime Minister’s Chief Science Advisor,government,https://www.pmcsa.ac.nz/files/2020/05/April-Advice-Bundle-COVID-19-v2.pdf,https://www.pmcsa.ac.nz/files/2020/05/April-Advice-Bundle-COVID-19-v2.pdf#page=4,pmcsa-e2ec4864a9efa96531a159c699062dca,,pmcsa-e2ec4864a9efa96531a159c699062dca-e2ec4864a9efa96531a159c699062dca,full text search,,,,,4,"here. 3 We have assumed only 10 of actual cases in NZ have been identified and confirmed. 4 Figures taken from model assumptions under realistic scenario from COVID-19 Modelling Update, 26 March 20, produced by Te Punaha Matatini with support from Orion Health, Contact Shaun Hendy. 5 Hospitalisation date may not align with actual admission date. 6/04/2020 HIGHLY UNCERTAIN ONLY",,
COVID-19,,2020-05-01,Office of the Prime Minister’s Chief Science Advisor,government,https://www.pmcsa.ac.nz/files/2020/05/April-Advice-Bundle-COVID-19-v2.pdf,https://www.pmcsa.ac.nz/files/2020/05/April-Advice-Bundle-COVID-19-v2.pdf#page=5,pmcsa-e2ec4864a9efa96531a159c699062dca,,pmcsa-e2ec4864a9efa96531a159c699062dca-e2ec4864a9efa96531a159c699062dca,full text search,,,,,5,"have been identified and confirmed. 9 ICU data is approximate official data not accessed. 10 Figures taken from model assumptions under realistic scenario from COVID-19 Modelling Update, 26 March 20, produced by Te Punaha Matatini with support from Orion Health, Contact Shaun Hendy. 11 Hospitalisation date may not align with actual admission date. 6/04/2020 Data up to 5 April via JHU at https://github.com/CSSEGISandData/COVID-",,
COVID-19,,2020-05-01,Office of the Prime Minister’s Chief Science Advisor,government,https://www.pmcsa.ac.nz/files/2020/05/April-Advice-Bundle-COVID-19-v2.pdf,https://www.pmcsa.ac.nz/files/2020/05/April-Advice-Bundle-COVID-19-v2.pdf#page=48,pmcsa-e2ec4864a9efa96531a159c699062dca,,pmcsa-e2ec4864a9efa96531a159c699062dca-e2ec4864a9efa96531a159c699062dca,full text search,,,,,48,"have been identified and confirmed. 15 ICU data is approximate official data not accessed. 16 Figures taken from model assumptions under realistic scenario from COVID-19 Modelling Update, 26 March 20, produced by Te Punaha Matatini with support from Orion Health, Contact Shaun Hendy. 17 Hospitalisation date may not align with actual admission date. 14/04/2020 Daily new COVID-19 cases and number of",,
COVID-19,,2020-05-01,Office of the Prime Minister’s Chief Science Advisor,government,https://www.pmcsa.ac.nz/files/2020/05/April-Advice-Bundle-COVID-19-v2.pdf,https://www.pmcsa.ac.nz/files/2020/05/April-Advice-Bundle-COVID-19-v2.pdf#page=73,pmcsa-e2ec4864a9efa96531a159c699062dca,,pmcsa-e2ec4864a9efa96531a159c699062dca-e2ec4864a9efa96531a159c699062dca,full text search,,,,,73,"have been identified and confirmed. 21 ICU data is approximate official data not accessed. 22 Figures taken from model assumptions under realistic scenario from COVID-19 Modelling Update, 26 March 20, produced by Te Punaha Matatini with support from Orion Health, Contact Shaun Hendy. 23 Hospitalisation date may not align with actual admission date. Ireland Taiwan data up to 22 April 2020 from Johns Hopkins University https://github",,
Responses to Official Information Requests - October 2021,,2022-03-23,Department of the Prime Minister and Cabinet,government,https://www.dpmc.govt.nz/publications/responses-official-information-requests-october-2021,https://www.dpmc.govt.nz/sites/default/files/2022-03/dpmc-roia-oia-2021-22-0383-rodney-jones-wigram-capital-payments-procurement-rules.pdf#page=1,dpmcnz-a0e8f93fe01924dfe4ab056487b47c77,,dpmcnz-a0e8f93fe01924dfe4ab056487b47c77-0dd1063ea6c85a1a381543a45e41eca3,full text search,,,,,1,"request received on 4 October 2021. You requested: Has DPMC paid any money for Rodney Jones/Wigram Capital modelling work? What procurement rules did DPMC follow in awarding the Sept 2021 - June 2022 worth 2m contract to U of Auckland/Te Punaha Matatini? Regarding your first question on Rodney Jones / Wigram Capital, the Department of the Prime Minister and Cabinet has paid Rodney Jones 865 under the Cabinet Fees Framework, as a Special Advisor to the Strategic COVID-19 Public Health Advisory",,
,,2016-11-17,Motu,think tank,https://www.motu.nz/our-research/productivity-and-innovation/firm-productivity-and-performance/urban-productivity-estimation-with-heterogeneous-prices-and-labour/,https://www.motu.nz/assets/Documents/our-work/productivity-and-innovation/firm-productivity-and-performance/Urban-Productivity-Estimation-Executive-Summary.pdf#page=1,moturesearch-06479be80710e7475468a2903a573b9e,,moturesearch-06479be80710e7475468a2903a573b9e-6244b57600205849416abe5004b9eeec,full text search,,,,,1,"Auckland. For other urban areas, the gap ranges from 9.4 to 20.1, with lower estimated mfp in less dense urban areas. This research was funded by the New Zealand Productivity Hub, under the Productivity Partnership programme, and also by Te Punaha Matatini. The author gratefully acknowledges this assistance. 2016 Motu Economic and Public Policy Research Trust and the author. ECONOMIC AND PUBLIC POLICY RESEARCH URBAN MULTI-FACTOR PRODUCTIVITY PREMIUM Some",,
,,2019-03-06,Motu,think tank,https://www.motu.nz/our-research/urban-and-regional/regions/relatedness-complexity-and-local-growth/,https://www.motu.nz/assets/Documents/our-work/urban-and-regional/regions-and-settlements/High-Res-Poster.pdf#page=1,moturesearch-69c80a3a105b25c0327d3f624a4e7bea,,moturesearch-69c80a3a105b25c0327d3f624a4e7bea-8a1a3d226bd8ee098078c7b0fe94cd22,full text search,,,,,1,"are complex, experienced faster growth. In short, context matters: local growth depends upon what is both spatially and technologically nearby. The authors gratefully acknowledge research funding from Te P?naha Matatini. 2018 Motu Economic and Public Policy Research 1 Marshall 1920; 2 Porter 2014; 3 Tachella et al. 2012; Balland et al. 2017; Abdon et",,
Vaccination and testing of the border workforce for COVID-19 and risk of community outbreaks: a modelling study,,2021-03-22,Analysis & Policy Observatory,other,https://apo.org.au/node/311665,https://apo.org.au/sites/default/files/resource-files/2021-03/apo-nid311665.pdf#page=1,apo-60975287c6c87d926878ae1a516d953e,,apo-60975287c6c87d926878ae1a516d953e-b53e67dee8602dfd3d3a6c335c326490,full text search,,,,,1,Te P?naha Matatini,,
