Title,Translated title,Published,Source Name,Source Type,URL,PDF URL,Policy Document ID,Policy Document DOIs,PDF Document ID,Matched Reference Type,Matched News ID,Matched Policy Document ID,Matched DOI,Matched Person,Page,Matched Snippet,Matched Policy Document Title,Matched Departments
Small and Medium Sized European Firms and Energy Efficiency Measures: A Probit Analysis,,2022-11-03,Ifo Institute,think tank,https://www.cesifo.org/en/publications/2022/working-paper/small-and-medium-sized-european-firms-and-energy-efficiency,https://www.cesifo.org/DocDL/cesifo1_wp10066.pdf#page=20,ifode-5218f6d5c15dc5edadd5fde44c92305c,,ifode-5218f6d5c15dc5edadd5fde44c92305c-68445ea859218c85044769188fe59fad,cited selected person,,,10.1016/0301-4215(94)90138-4,Adam B Jaffe,20,"24 Jaffe, A.B., Stavins, R.N. 1994. The energy-efficiency gap What does it mean?, Energy Policy, 22, 10, 804-810. https://doi.org/10.1016/0301-42159490138-4.",,
Centre for,,2024-02-27,Government of Singapore,government,https://www.ipos.gov.sg/docs/default-source/resources-library/when-code-creates-landscape-report-on-ip-issues-in-ai.pdf,https://www.ipos.gov.sg/docs/default-source/resources-library/when-code-creates-landscape-report-on-ip-issues-in-ai.pdf#page=17,govsg-9c801ddee948e365f059fd2247f6b8da,,govsg-9c801ddee948e365f059fd2247f6b8da-9c801ddee948e365f059fd2247f6b8da,cited selected person,,,10.2139/ssrn.4434054,Adam B Jaffe,17,"40 Gaétan de Rassenfosse, Adam B Jaffe and Melissa F Wasserman, AI-Generated Inventions: Implications for the Patent System 2023 Southern California Law Review, 115. Some commentators have suggested that to deal with the issues concerning human and AI inventions, which cannot be compared evenly, a new type of patents should be created for AI inventions, where the term of protection is shorter, e.g., 15 years: see Lexi Heon, Artificially Obvious but Genuinely New: How Artificial Intelligence Alters the Patent Obviousness Analysis 2022 53 1: 8 Seton Hall Law Review, 3856. This is in contrast to patent protection whereby the period of protection must be no less than 20 years from the date of filing of the patent application. https://ssrn.com/abstract4434054 https://scholarship.shu.edu/shlr/vol53/iss1/8/",,
Centre for,,2024-02-27,Government of Singapore,government,https://www.ipos.gov.sg/docs/default-source/resources-library/when-code-creates-landscape-report-on-ip-issues-in-ai.pdf,https://www.ipos.gov.sg/docs/default-source/resources-library/when-code-creates-landscape-report-on-ip-issues-in-ai.pdf#page=17,govsg-9c801ddee948e365f059fd2247f6b8da,,govsg-9c801ddee948e365f059fd2247f6b8da-9c801ddee948e365f059fd2247f6b8da,cited selected person,,,10.2139/ssrn.4434054,Adam B Jaffe,17,"40 Gaétan de Rassenfosse, Adam B Jaffe and Melissa F Wasserman, AI-Generated Inventions: Implications for the Patent System 2023 Southern California Law Review, 115. Some commentators have suggested that to deal with the issues concerning human and AI inventions, which cannot be compared evenly, a new type of patents should be created for AI inventions, where the term of protection is shorter, e.g., 15 years: see Lexi Heon, Artificially Obvious but Genuinely New: How Artificial Intelligence Alters the Patent Obviousness Analysis 2022 53 1: 8 Seton Hall Law Review, 3856. This is in contrast to patent protection whereby the period of protection must be no less than 20 years from the date of filing of the patent application. https://ssrn.com/abstract4434054 https://scholarship.shu.edu/shlr/vol53/iss1/8/",,
Centre for,,2024-02-27,Government of Singapore,government,https://www.ipos.gov.sg/docs/default-source/resources-library/when-code-creates-landscape-report-on-ip-issues-in-ai.pdf,https://www.ipos.gov.sg/docs/default-source/resources-library/when-code-creates-landscape-report-on-ip-issues-in-ai.pdf#page=17,govsg-9c801ddee948e365f059fd2247f6b8da,,govsg-9c801ddee948e365f059fd2247f6b8da-9c801ddee948e365f059fd2247f6b8da,cited selected person,,,10.2139/ssrn.4434054,Adam B Jaffe,17,"40 Gaétan de Rassenfosse, Adam B Jaffe and Melissa F Wasserman, AI-Generated Inventions: Implications for the Patent System 2023 Southern California Law Review, 115. Some commentators have suggested that to deal with the issues concerning human and AI inventions, which cannot be compared evenly, a new type of patents should be created for AI inventions, where the term of protection is shorter, e.g., 15 years: see Lexi Heon, Artificially Obvious but Genuinely New: How Artificial Intelligence Alters the Patent Obviousness Analysis 2022 53 1: 8 Seton Hall Law Review, 3856. This is in contrast to patent protection whereby the period of protection must be no less than 20 years from the date of filing of the patent application. https://ssrn.com/abstract4434054 https://scholarship.shu.edu/shlr/vol53/iss1/8/",,
Carbon Dioxide as a Risky Asset,,2023-02-15,Ifo Institute,think tank,https://www.cesifo.org/en/publications/2023/working-paper/carbon-dioxide-risky-asset,https://www.cesifo.org/DocDL/cesifo1_wp10278.pdf#page=45,ifode-38e6bc93ada25ee5023e043832a8469a,,ifode-38e6bc93ada25ee5023e043832a8469a-baf7afa26566459b466726130d0078b4,cited selected person,,,10.1016/j.ecolecon.2004.12.027,Adam B Jaffe,45,"47 A. B. Jaffe, R. G. Newell, and R. N. Stavins, A tale of two market failures: Technology and environmental policy, Ecological Economics, 54 2005, pp. 164174.",,
Carbon Dioxide as a Risky Asset,,2023-02-15,Ifo Institute,think tank,https://www.cesifo.org/en/publications/2023/working-paper/carbon-dioxide-risky-asset,https://www.cesifo.org/DocDL/cesifo1_wp10278.pdf#page=46,ifode-38e6bc93ada25ee5023e043832a8469a,,ifode-38e6bc93ada25ee5023e043832a8469a-baf7afa26566459b466726130d0078b4,cited selected person,,,10.1016/0928-7655(94)90001-9,Adam B Jaffe,46,"48 A. B. Jaffe and R. N. Stavins, The energy paradox and the diffusion of conservation technology, Resource and Energy Economics, 16 1994, pp. 91122.",,
Green industrial policy can strengthen carbon pricing but not replace it,,2024-07-11,Norweigan Institute of International Affairs,think tank,https://nupi.brage.unit.no/nupi-xmlui/handle/11250/3155086,https://nupi.brage.unit.no/nupi-xmlui/bitstream/11250/3155086/1/2024%2b-%2bGreen%2bindustrial%2bpolicy%2bcan%2bstrengthen%2bcarbon%2bpricing%2bbut%2bnot%2breplace%2bit.pdf#page=6,nupi-0048c42f11952a0705ab7a0a3024ec79,,nupi-0048c42f11952a0705ab7a0a3024ec79-155d075f755def9d01f59a0130bd27e8,cited selected person,,,10.1016/j.ecolecon.2004.12.027,Adam B Jaffe,6,"54 A.B. Jaffe, R.G. Newell, R.N. Stavins, A tale of two market failures: technology and environmental policy, Ecol. Econ. 54 23 2005 Aug 164174. http://refhub.elsevier.com/S2214-62962400260-3/rf0270",,
"The selection and use of essential medicines: report of the WHO Expert Committee on Selection and Use of Essential Medicines, 2023 (including the 23rd WHO model list of essential medicines and the 9th WHO model list of essential medicines for children)",,2024-01-01,World Health Organization,igo,https://apps.who.int/iris/handle/10665/376570,https://iris.who.int/bitstream/handle/10665/376570/9789240089266-eng.pdf#page=712,who-b05f8ccd6f55e9fbed6f8922fcf80c43,,who-b05f8ccd6f55e9fbed6f8922fcf80c43-762c34be1afb19257e1f6c4ad0ab6141,cited selected person,,,10.1001/archpsyc.1992.01820110045007,Adam B Jaffe,712,"6. OMalley SS, Jaffe AJ, Chang G, Schottenfeld RS, Meyer RE, Rounsaville B. Naltrexone and coping skills therapy for alcohol dependence. A controlled study. Arch Gen Psychiatry. 1992;4911:8817.",,
"The selection and use of essential medicines: report of the WHO Expert Committee on Selection and Use of Essential Medicines, 2023 (including the 23rd WHO model list of essential medicines and the 9th WHO model list of essential medicines for children)",,2024-01-01,World Health Organization,igo,https://apps.who.int/iris/handle/10665/376570,https://iris.who.int/bitstream/handle/10665/376570/9789240089266-eng.pdf#page=712,who-b05f8ccd6f55e9fbed6f8922fcf80c43,,who-b05f8ccd6f55e9fbed6f8922fcf80c43-762c34be1afb19257e1f6c4ad0ab6141,cited selected person,,,10.1001/archpsyc.1992.01820110045007,Adam B Jaffe,712,"6. OMalley SS, Jaffe AJ, Chang G, Schottenfeld RS, Meyer RE, Rounsaville B. Naltrexone and coping skills therapy for alcohol dependence. A controlled study. Arch Gen Psychiatry. 1992;4911:8817.",,
NACI literature review on the effects of palivizumab prophylaxis on reducing the complications associated with respiratory syncytial virus in infants.: HP40-321/2022E-PDF Publications - Canada.ca,,2023-01-01,Government of Canada,government,http://publications.gc.ca/site/eng/9.914234/publication.html,https://publications.gc.ca/collections/collection_2023/aspc-phac/HP40-321-2022-eng.pdf#page=50,governmentofcanada-ffadd8af3d4e2ff4f7a9ac84857d463e,,governmentofcanada-ffadd8af3d4e2ff4f7a9ac84857d463e-11efdd4bc87f3b4f4dab891e57cb2924,cited selected person,,,10.1155/2014/571609,Adam B Jaffe,50,"64. Homaira N, Rawlinson W, Snelling TL, Jaffe A. Effectiveness of palivizumab in preventing RSV hospitalization in high risk children: A real-world perspective. Int J Pediatr 2014;2014:571609.",,
NACI literature review on the effects of palivizumab prophylaxis on reducing the complications associated with respiratory syncytial virus in infants.: HP40-321/2022E-PDF Publications - Canada.ca,,2023-01-01,Government of Canada,government,http://publications.gc.ca/site/eng/9.914234/publication.html,https://publications.gc.ca/collections/collection_2023/aspc-phac/HP40-321-2022-eng.pdf#page=50,governmentofcanada-ffadd8af3d4e2ff4f7a9ac84857d463e,,governmentofcanada-ffadd8af3d4e2ff4f7a9ac84857d463e-11efdd4bc87f3b4f4dab891e57cb2924,cited selected person,,,10.1155/2014/571609,Adam B Jaffe,50,"64. Homaira N, Rawlinson W, Snelling TL, Jaffe A. Effectiveness of palivizumab in preventing RSV hospitalization in high risk children: A real-world perspective. Int J Pediatr 2014;2014:571609.",,
Energy Conservation Program: Energy Conservation Standards for Dishwashers,,2024-04-24,Federal Register,government,https://www.federalregister.gov/documents/2024/04/24/2024-08212/energy-conservation-program-energy-conservation-standards-for-dishwashers,https://www.govinfo.gov/content/pkg/FR-2024-04-24/pdf/2024-08212.pdf#page=32,federalregister-a3cc3765fac945b03ce0a2670d5a5ba5,,federalregister-a3cc3765fac945b03ce0a2670d5a5ba5-3222ffa01f812503fbcb80182d32ab25,cited selected person,,,10.1016/0301-4215(94)90138-4,Adam B Jaffe,32,"67 A.B. Jaffe and R.N. Stavins 1994 The energyefficiency gap What does it mean? Energy Policy, 22 10 804810, Available at doi.org/10.1016/0301- 42159490138-4.",,
"Energy Conservation Program: Energy Conservation Standards for Refrigerators, Refrigerator-Freezers, and Freezers",,2024-01-17,Federal Register,government,https://www.federalregister.gov/documents/2024/01/17/2023-28978/energy-conservation-program-energy-conservation-standards-for-refrigerators-refrigerator-freezers,https://www.govinfo.gov/content/pkg/FR-2024-01-17/pdf/2023-28978.pdf#page=40,federalregister-509d5c448509967be35665794fe8cb27,,federalregister-509d5c448509967be35665794fe8cb27-98ff2f0885ff91f587400ba2941eacfe,cited selected person,,,10.1016/0301-4215(94)90138-4,Adam B Jaffe,40,"70 A.B. Jaffe and R.N. Stavins 1994. The energyefficiency gap What does it mean? Energy Policy, 22 10 804810, 10.1016/0301421594901384.",,
Energy Conservation Program: Energy Conservation Standards for Consumer Conventional Cooking Products,,2024-02-14,Federal Register,government,https://www.federalregister.gov/documents/2024/02/14/2024-02008/energy-conservation-program-energy-conservation-standards-for-consumer-conventional-cooking-products,https://www.govinfo.gov/content/pkg/FR-2024-02-14/pdf/2024-02008.pdf#page=56,federalregister-05831b78b7e70394ec95fb2ea4bfa315,,federalregister-05831b78b7e70394ec95fb2ea4bfa315-7c9605d5ce87df5ad436e946ec3fd6ef,cited selected person,,,10.1016/0301-4215(94)90138-4,Adam B Jaffe,56,"99 B. Jaffe and R.N. Stavins 1994 The energyefficiency gap What does it mean? Energy Policy, 22 10 804810, 10.1016/0301421594901384.",,
Are Low-income Households Sensitive To Tax Incentives For Energy Efficiency Investments?,,2023-02-07,French Government Ministries,government,https://www.tresor.economie.gouv.fr/Articles/47ea6417-b743-4b3a-b5e2-526489155112/files/2020867e-7e6e-482d-9e11-8c3d4fda6c75,https://www.tresor.economie.gouv.fr/Articles/47ea6417-b743-4b3a-b5e2-526489155112/files/2020867e-7e6e-482d-9e11-8c3d4fda6c75#page=34,govdeptsfrance-2b3accea2dee2bbeed8e2d3f5cb019a1,,govdeptsfrance-2b3accea2dee2bbeed8e2d3f5cb019a1-2b3accea2dee2bbeed8e2d3f5cb019a1,cited selected person,,,10.1016/0301-4215(94)90138-4,Adam B Jaffe,34,"A.B Jaffe and R.N Stavins 1994. The Energy-Efficiency Gap: What Does It Mean? Energy Policy, 2210:804810.",,
Macroeconomic Effects of Public R&D,,2023-01-31,UCL Institute for Innovation and Public Purpose,think tank,https://www.ucl.ac.uk/bartlett/public-purpose/publications/2023/jan/macroeconomic-effects-public-rd,https://www.ucl.ac.uk/bartlett/public-purpose/sites/bartlett_public_purpose/files/de_lipsis_v._deleidi_m._mazzucato_m._and_agnolucci_p._2023_macroeconomic_effects_of_public_rd.pdf#page=41,uclpublicpurpose-11a4d590098514a05d0e94813eded9ab,,uclpublicpurpose-11a4d590098514a05d0e94813eded9ab-641d1fd486ef02742a5e3aabd341d4d2,cited selected person,,,10.2307/2555878,Adam B Jaffe,41,"Adams, J. D. and Jaffe, A.B., 1996. Bounding the Effects of RD: An Investigation Using Matched Establishment-Firm Data. RAND Journal of Economics, 27.4: 700-721.",,
Lower for longer under endogenous technology growth.,,2022-08-24,Publications Office of the European Union,government,https://op.europa.eu/en/publication-detail/-/publication/01e5eb69-241d-11ed-8fa0-01aa75ed71a1/language-en/format-PDF,https://op.europa.eu/o/opportal-service/download-handler?identifier=01e5eb69-241d-11ed-8fa0-01aa75ed71a1&format=pdf&language=en&productionSystem=cellar&part=#page=47,europa-4ab101e05dad638cb68c25ad90b09434,10.2866/923309,europa-4ab101e05dad638cb68c25ad90b09434-68b74c8eb00df29fecb65697ad815f6b,cited selected person,,,10.1086/654207,Adam B Jaffe,47,"Caballero, R. J. and A. B. Jaffe 1993: How High Are the Giants Shoulders: An Empirical Assessment of Knowledge Spillovers and Creative Destruction in a Model of Economic Growth, in NBER Macroeconomics Annual 1993, Vol. 8, pp. 15-86.",,
Lower for longer under endogenous technology growth.,,2022-08-24,Publications Office of the European Union,government,https://op.europa.eu/en/publication-detail/-/publication/01e5eb69-241d-11ed-8fa0-01aa75ed71a1/language-en/format-PDF,https://op.europa.eu/o/opportal-service/download-handler?identifier=01e5eb69-241d-11ed-8fa0-01aa75ed71a1&format=pdf&language=en&productionSystem=cellar&part=#page=47,europa-4ab101e05dad638cb68c25ad90b09434,10.2866/923309,europa-4ab101e05dad638cb68c25ad90b09434-68b74c8eb00df29fecb65697ad815f6b,cited selected person,,,10.1086/654207,Adam B Jaffe,47,"Caballero, R. J. and A. B. Jaffe 1993: How High Are the Giants Shoulders: An Empirical Assessment of Knowledge Spillovers and Creative Destruction in a Model of Economic Growth, in NBER Macroeconomics Annual 1993, Vol. 8, pp. 15-86.",,
Lower for longer under endogenous technology growth.,,2022-08-24,Publications Office of the European Union,government,https://op.europa.eu/en/publication-detail/-/publication/01e5eb69-241d-11ed-8fa0-01aa75ed71a1/language-en/format-PDF,https://op.europa.eu/o/opportal-service/download-handler?identifier=01e5eb69-241d-11ed-8fa0-01aa75ed71a1&format=pdf&language=en&productionSystem=cellar&part=#page=47,europa-4ab101e05dad638cb68c25ad90b09434,10.2866/923309,europa-4ab101e05dad638cb68c25ad90b09434-68b74c8eb00df29fecb65697ad815f6b,cited selected person,,,10.1086/654207,Adam B Jaffe,47,"Caballero, R. J. and A. B. Jaffe 1993: How High Are the Giants Shoulders: An Empirical Assessment of Knowledge Spillovers and Creative Destruction in a Model of Economic Growth, in NBER Macroeconomics Annual 1993, Vol. 8, pp. 15-86.",,
Lower for longer under endogenous technology growth,,2022-08-18,European Central Bank,government,https://www.ecb.europa.eu/pub/pdf/scpwps/ecb.wp2714~11a4c4d96f.en.pdf,https://www.ecb.europa.eu/pub/pdf/scpwps/ecb.wp2714~11a4c4d96f.en.pdf#page=47,ecb-2c73aa18cd6721e0c6912f7a4b91a9a6,,ecb-2c73aa18cd6721e0c6912f7a4b91a9a6-2c73aa18cd6721e0c6912f7a4b91a9a6,cited selected person,,,10.1086/654207,Adam B Jaffe,47,"Caballero, R. J. and A. B. Jaffe 1993: How High Are the Giants Shoulders: An Empirical Assessment of Knowledge Spillovers and Creative Destruction in a Model of Economic Growth, in NBER Macroeconomics Annual 1993, Vol. 8, pp. 15-86.",,
Lower for longer under endogenous technology growth,,2022-08-18,European Central Bank,government,https://www.ecb.europa.eu/pub/pdf/scpwps/ecb.wp2714~11a4c4d96f.en.pdf,https://www.ecb.europa.eu/pub/pdf/scpwps/ecb.wp2714~11a4c4d96f.en.pdf#page=47,ecb-2c73aa18cd6721e0c6912f7a4b91a9a6,,ecb-2c73aa18cd6721e0c6912f7a4b91a9a6-2c73aa18cd6721e0c6912f7a4b91a9a6,cited selected person,,,10.1086/654207,Adam B Jaffe,47,"Caballero, R. J. and A. B. Jaffe 1993: How High Are the Giants Shoulders: An Empirical Assessment of Knowledge Spillovers and Creative Destruction in a Model of Economic Growth, in NBER Macroeconomics Annual 1993, Vol. 8, pp. 15-86.",,
Lower for longer under endogenous technology growth,,2022-08-18,European Central Bank,government,https://www.ecb.europa.eu/pub/pdf/scpwps/ecb.wp2714~11a4c4d96f.en.pdf,https://www.ecb.europa.eu/pub/pdf/scpwps/ecb.wp2714~11a4c4d96f.en.pdf#page=47,ecb-2c73aa18cd6721e0c6912f7a4b91a9a6,,ecb-2c73aa18cd6721e0c6912f7a4b91a9a6-2c73aa18cd6721e0c6912f7a4b91a9a6,cited selected person,,,10.1086/654207,Adam B Jaffe,47,"Caballero, R. J. and A. B. Jaffe 1993: How High Are the Giants Shoulders: An Empirical Assessment of Knowledge Spillovers and Creative Destruction in a Model of Economic Growth, in NBER Macroeconomics Annual 1993, Vol. 8, pp. 15-86.",,
To Be or Not to Be: The Entrepreneur in Neo-Schumpeterian Growth Theory,,2022-10-07,IZA Institute of Labor Economics,think tank,https://www.iza.org/publications/dp/15605/to-be-or-not-to-be-the-entrepreneur-in-neo-schumpeterian-growth-theory,https://docs.iza.org/dp15605.pdf#page=48,izade-bd0bc932aa659aaa1dd701846cc7a144,,izade-bd0bc932aa659aaa1dd701846cc7a144-e320e263ffe181e29646afe98c07a464,cited selected person,,,10.1086/654207,Adam B Jaffe,48,"Caballero, R. J., Jaffe, A. B. 1993. How high are the giants shoulders: an empirical assessment of knowledge spillovers and creative destruction in a model of economic growth. NBER Macroeconomics Annual, 8, 1574.",,
To Be or Not to Be: The Entrepreneur in Neo-Schumpeterian Growth Theory,,2022-10-07,IZA Institute of Labor Economics,think tank,https://www.iza.org/publications/dp/15605/to-be-or-not-to-be-the-entrepreneur-in-neo-schumpeterian-growth-theory,https://docs.iza.org/dp15605.pdf#page=48,izade-bd0bc932aa659aaa1dd701846cc7a144,,izade-bd0bc932aa659aaa1dd701846cc7a144-e320e263ffe181e29646afe98c07a464,cited selected person,,,10.1086/654207,Adam B Jaffe,48,"Caballero, R. J., Jaffe, A. B. 1993. How high are the giants shoulders: an empirical assessment of knowledge spillovers and creative destruction in a model of economic growth. NBER Macroeconomics Annual, 8, 1574.",,
To Be or Not to Be: The Entrepreneur in Neo-Schumpeterian Growth Theory,,2022-10-07,IZA Institute of Labor Economics,think tank,https://www.iza.org/publications/dp/15605/to-be-or-not-to-be-the-entrepreneur-in-neo-schumpeterian-growth-theory,https://docs.iza.org/dp15605.pdf#page=48,izade-bd0bc932aa659aaa1dd701846cc7a144,,izade-bd0bc932aa659aaa1dd701846cc7a144-e320e263ffe181e29646afe98c07a464,cited selected person,,,10.1086/654207,Adam B Jaffe,48,"Caballero, R. J., Jaffe, A. B. 1993. How high are the giants shoulders: an empirical assessment of knowledge spillovers and creative destruction in a model of economic growth. NBER Macroeconomics Annual, 8, 1574.",,
To Be or Not to Be: The Entrepreneur in Neo-Schumpeterian Growth Theory,,2022-09-28,Institutet för Näringslivsforskning,think tank,https://www.ifn.se/media/lttpyduc/wp1441.pdf,https://www.ifn.se/media/lttpyduc/wp1441.pdf#page=55,ifnsweden-944d82a8da098ed1b2b38aabf3ad34df,,ifnsweden-944d82a8da098ed1b2b38aabf3ad34df-944d82a8da098ed1b2b38aabf3ad34df,cited selected person,,,10.1086/654207,Adam B Jaffe,55,"Caballero, R. J., Jaffe, A. B. 1993. How high are the giants shoulders: an empirical assessment of knowledge spillovers and creative destruction in a model of economic growth. NBER Macroeconomics Annual, 8, 1574.",,
