first_name,last_name,stand_name,organization,department,TPM_role,TPM_category,TPM_inq_com,TPM_project,year_joined,TPM_bio,ORCID_ID,Scopus_ID
Rachelle,Binny,"Binny, R",Manaaki Whenua - Landcare Research,Wildlife Ecology and Management ,Principal Investigator,Principal Investigator,NA,River Climate Change,2015,"Rachelle is a postdoctoral researcher in mathematical modelling in the Wildlife Ecology and Management Team at Manaaki Whenua – Landcare Research, Lincoln. Her passion for applying mathematical and statistical approaches to solve problems arising in biology, is regularly revitalised by tramping adventures into the beautiful South Island Alps, and a great appreciation for the vibrant native wildlife to be found there. Rachelle’s current work involves quantifying biodiversity outcomes from NZ’s pest control, individual-based simulation modelling for collective cell or animal movement, and spatiotemporal modelling of population dynamics. Of note, Rachelle was the Inaugural Chair, Te P?naha Whanau Committee from 2014 to 2015",0000-0002-3433-0417,56648035300
Élodie ,Blanc,"Blanc, É",Motu,Economic and Public Policy,Principal Investigator,Principal Investigator,NA,,2019,"Élodie Blanc, a Research Fellow at Motu Economic and Public Policy Research, is also a Research Scientist at the MIT Joint Program on the Science and Policy of Global Change. Élodie completed her graduate studies at École des Hautes Etudes en Sciences Sociales and the University of Otago. Her research interests include agricultural economics, applied econometrics, water modeling and crop modeling.",0000-0003-1997-8212,23988357400
Kelly,Blincoe,"Blincoe, K",University of Auckland,"Department of Electrical, Computer and Software Engineering",Principal Investigator,Principal Investigator,NA,,2023,"Kelly is an Associate Professor of Software Engineering at the University of Auckland, New Zealand in the Department of Electrical, Computer, and Software Engineering. She is currently a Rutherford Discovery Fellow. Kelly’s research is focused on the human and social aspects of software engineering, and her current research topics include software developer diversity and inclusion, collaborative software development, and software requirements engineering. She is passionate about enabling inclusive software teams to create inclusive software products. She is a Liaison for Diversity, Equity, and Inclusion for ACM’s Special Interest Group on Software Engineering (SIGSOFT) and a member of the IEEE Computer Society Diversity & Inclusion committee.",0000-0003-4092-9706,36617114700
Frank,Bloomfield,"Bloomfield, F",University of Auckland,Deputy Vice-Chancellor,Advisory Board,Advisory Board,NA,,2022,"Professor Frank Bloomfield is the Deputy Vice Chancellor (Research) for the University of Auckland, taking up the role in March 2023. Prior to this, he was Director of the Liggins Institute, one of the University’s Large Scale Research Institutes. He is a Professor in Neonatology, having worked clinically for many years as a Consultant Neonatologist at Auckland City Hospital. Frank previously has been President of the Perinatal Society of Australia and New Zealand and the Perinatal Society of New Zealand.",0000-0001-6424-6577,7003436326
Ann,Brower,"Brower, A",University of Canterbury,School of Earth and Environment,Principal Investigator,Principal Investigator,NA,Braided Rivers,2019,"Ann Brower, an environmental scientist and geographer at the University of Canterbury, is a methodological pluralist who uses lots of types of data to explore the intersection of environmental, economic, and social systems. She is also committed to making a difference to the life of the nation. Ann’s work has changed the Building Act and the Land Act, both fairly fundamental to the environment in Aotearoa New Zealand. Ann has won several awards recognising her contribution to the life of the nation. The Royal Society of New Zealand awarded her the Charles Fleming Medal for Environmental Achievement in 2022, for outstanding achievement in environmental science; the University of Canterbury awarded her the Innovation Medal for outstanding research impact; and Universities NZ awarded her the ‘Critic and Conscience of Society’ Award in 2018.",0000-0002-5770-3247,18233378900
Pieta,Brown,"Brown, P",Orion Health,Intelligence,Advisory Board,Advisory Board,NA,,2018,"Pieta works with healthcare customers to deliver data science and machine learning solutions into real-world clinical and operational workflows. Pieta is passionate about the potential of cross functional teams to deliver these solutions and enjoys working at the intersection of rigorous science, new technology, good design and innovative approaches to governance. She has led large-scale data science projects and capability development for public and private sector organisations in New Zealand focusing on healthcare, financial services, retail and the social sector. Her previous roles have included Insights Manager, Chief Analytics Officer, Head of Data, and Associate Director at PwC. Pieta holds degrees in Science and Law, including a Master of Data Science from the University of Auckland, and is on the committee for the New Zealand Data Science and Analytics Forum.",NA,NA
Anna,Brown,"Brown, A",Massey University,College of Creative Arts,Principal Investigator,Principal Investigator,NA,Co-production,2021,"Anna Brown is a design researcher, educator and practitioner whose expertise is in participatory design. She is the founder and director of Toi aria: Design for Public Good, a research unit at the College of Creative Arts, Massey University. She believes that design has a role to play in delivering public good and is interested in how conversations and community engagement can drive social change. Anna is a Professor at Massey, where she supervises postgraduate design students and is chair of Massey University Press. Anna maintains a deep interest in her first love — book design.",0000-0002-1486-8041,57209398695
Jonathan,Burgess,"Burgess, J",,,Communications and Marketing Senior Adviser,Executive Team,Engagement,,2020,"Jonathan specialises in communicating complex academic work to a public audience. He has a background in communications, social media, media liaison and content design. Jonathan loves crafting crisp and clear copy, public speaking, storytelling, and empowering his colleagues to thrive in their roles. His favourite way to work is collaboratively, and he thrives as the spokesperson for exceptional work. He has been called a “wizard with words,” and credited with the rare ability to charm with prose while deftly crafting succinct, effective and modern copy.

",NA,NA
Andrea,Byrom,"Byrom, A",NZ Biological Heritage,National Science Challenge,Kairangi,Kairangi,NA,,2015,"Andrea is the former Director of the New Zealand’s Biological Heritage National Science Challenge. Her research interests are in understanding the impacts of invasive mammals on New Zealand’s native flora and fauna, along with other drivers of global change such as climate change and land use intensification.",0000-0002-6042-6391,6603385393
Isabel,Castro,"Castro, I",Massey University,Wildlife Biology,Principal Investigator,Principal Investigator,NA,,2016,"Isabel Castro, from Massey University’s Wildlife and Ecology Group (College of Sciences) is a wildlife biologist with broad interests including animal behaviour, parasite-host interactions, anatomy, morphology, sensory biology, and conservation. Isabel’s research is on island species, particularly birds, but also introduced mammals and charismatic land snails. She has strong Hapu/Iwi connections, particularly with Ngati Kuta-Te Patukeha and Ngai Tuhoe, and has a passion for solving conservation problems, finding new biological wonders about animals, and working with technology. Isabel is a member of the Kiwi Recovery Group, the NZ Banding Advisory Committee, Wildbase, and leads the Behavioural Ecology Group at Massey University.",0000-0002-3335-2024,7102400791
Céline ,Cattoën-Gilbert,"Cattoën-Gilbert, C",NIWA,Hydrological Forecasting,Principal Investigator,Principal Investigator,NA,,2023,"Céline Cattoën-Gilbert is a hydrological forecasting scientist at the National Institute of Water and Atmospheric Research (NIWA). Her research interests focus on water modelling and forecasting. Céline leads NIWA’s floods and hazards research to develop large-scale flood early warning systems, coupling meteorological and hydrological models, and cascading uncertainty using probabilistic and ensemble modelling. Her research has a strong stakeholder engagement and co-production approach, with a focus on understanding the decision-making process and the communication of probabilistic forecast information.",0000-0001-9186-6595,9632564900
Justin,Connolly,"Connolly, J",Deliberate,Director,Principal Investigator,Principal Investigator,NA,System Change,2023,"Justin Connolly is the Director of Deliberate, a consultancy specialising in the use of qualitative research and systems thinking to help understand complexity. His use of systems thinking draws on the field of system dynamics and participatory processes to build system insights. Justin works across the linked subject areas of climate action and policy, natural resource management, urban development, wellbeing and sustainable development. Justin is one of the founders of the New Zealand hub of the Wellbeing Economy Alliance. He is also passionate about helping people understand the size of, and how to navigate, the climate change crisis, and was New Zealand’s first accredited En-ROADS Climate Ambassador.",0000-0002-0644-541X,57216492145
Murray,Cox,"Cox, M",Massey University,Computational Biology,Principal Investigator,Principal Investigator,NA,,2015,"Murray Cox is an Emeritus Professor of Computational Biology at Massey University and an Honorary Professor at the University of Auckland. Murray’s work integrates advanced genetic technologies with complex computational analysis to address biological questions at the interface of genomics, computer science and statistics. A Fellow of the Royal Society of New Zealand, Murray was awarded the 2022 Hector medal for his advances in the area of biological data analysis.",0000-0003-1936-0236,8699959500
Giulio,Dalla Riva,"Dalla Riva, G",University of Canterbury,School of Mathematics and Statistics,Principal Investigator,Principal Investigator,NA,,2020,"Giulio is a data scientist who explores and tries to make sense of what happens in complex, dynamical networks. He is interested in ecological networks and the evolutionary processes that modify them in time. Giulio develops mathematical and statistical tools to study the relationship between ecological biodiversity and evolutionary diversity. He is also interested in social networks, especially online, and trying to understand what makes them work in the way they work.",0000-0002-3454-0633,56928257900
Mairéad ,de Róiste,"de Róiste, M",Victoria University of Wellington,"School of Geography, Evironment and Earth Sciences",Principal Investigator,Principal Investigator,NA,,2023,"Mairéad is an Associate Professor of Geographic Information Science (GIS) in the School of Geography, Environment, and Earth Sciences at Te Herenga Waka – Victoria University of Wellington. She leads the SpatialThink lab which explores spatial thinking, learning, and cognition. Mairéad’s research centres on how people use and communicate geographic information, with key focuses on pedagogy and visual communication through cartography and geovisualization. Mairéad’s approach is informed by user centred design and human computer interaction (HCI).
",0000-0002-7418-1428,35322074400
Pauline,Donougher,"Donougher, P",,,Research Operations Coordinator,Executive Team,NA,,2020,"Pauline coordinates the daily operational requirements for Te P?naha Matatini. She has worked in tertiary education administration at Otago Polytechnic, University of Technology Sydney and Auckland University of Technology. Pauline started her career at the Department of Scientific and Industrial Research, and has worked across several industries including the adventure tourism sector. While living in Australia for 13 years, she graduated with a Diploma in Business Administration from the University of Technology Sydney. This varied and convoluted path has made her life interesting,  and created a wealth of experience to draw upon.",NA,NA
Graham,Donovan,"Donovan, G",University of Auckland,Faculty of Science,Principal Investigator,Principal Investigator,NA,,2023,"Graham Donovan is an Associate Professor of Applied Mathematics at the University of Auckland. Graham‘s research lies at the interface of applied mathematics, physiology, bioengineering and medicine, using modelling and mathematical analysis to understand biological systems, in particular the pathophysiology of lung disease but also immunology, epidemiology, and more broadly new methods for such systems. He is an editor for the Journal of Theoretical Biology and Frontiers in Network Physiology. At other times you might find him enjoying Aotearoa’s sailing or skiing with his family and two children.
",0000-0001-5903-5484,8902993900
Richard,Easther,"Easther, R",University of Auckland,School of Physics,Kairangi,Kairangi,NA,,2015,,0000-0002-7233-665X,6701459596
Nkiru,Ede,"Ede, N",Victoria University of Wellington,School of Engineering and Computer Science,Treasurer,Te Tira Maurikura,NA,,2022,"Nkiru is a PhD student at Victoria University of Wellington, researching software ecosystems. She obtained a masters degree in big data analytics from Birmingham City University, with her research focused on artificial intelligence and natural language processing. Nkiru is motivated by a deep desire to understand the complex relationships and dynamics that exist within software ecosystems. She hopes to contribute valuable insights that would enhance and sustain the functionality of these ecosystems. She is also deeply committed to advocating for responsible practices in the field of artificial intelligence.",0009-0005-4586-8641,NA
Tom,Etherington,"Etherington, T",Manaaki Whenua - Landcare Research,Spatial Modeller,Principal Investigator,Principal Investigator,NA,,2023,"Tom Etherington is a senior researcher at Manaaki Whenua – Landcare Research. He is an interdisciplinary researcher, using computational science to examine environmental questions and problems through the combination of theories and methods from geography and ecology. Primary applications have included modelling species’ distributions and connectivity across landscapes. While Tom’s research is generally driven by environmental questions and problems, where necessary his research also includes the development of new methods, data sets, and software. Tom also has a strong interest in the development and adoption of open science principles to maximise the potential use and impact of research that he is involved with, and is currently Editor-in-Chief for the New Zealand Journal of Ecology.",0000-0002-3187-075X,22333495600
Marcus,Frean,"Frean, M",Victoria University of Wellington,School of Engineering and Computer Science,Principal Investigator,Principal Investigator,NA,Game Theory,2015,"Marcus Frean is an Associate Professor in the School of Engineering and Computer Science at Victoria University of New Zealand. Marcus’s research lies in two fields – machine learning, and theoretical biology. His work has been about understanding computational collectives whose constituents are adapting or learning, leading to some form of self-organisation on the part of the whole system, whether that is a biological population or a single learning machine composed of many similar parts.",0000-0001-5840-8760,8358660400
Peni,Fukofuka,"Fukofuka, P",University of Canterbury,Department of Accounting and Information Systems,Principal Investigator,Principal Investigator,NA,,2023,"Dr Peni Fukofuka is a Senior Lecturer at the University of Canterbury. Peni researches at the intersection of accounting and various social contexts, including churches, Indigenous corporations, government departments, supranational organisations, and commercial corporations. The lessons learnt from these research projects are highly relevant to policy-making, especially in tailoring governance mechanisms and arrangements to fit for purpose.",0000-0002-2588-555X,57200755784
Mark,Gahegan,"Gahegan, M",University of Auckland,School of Computer Science,Principal Investigator,Principal Investigator,NA,,2015,"Mark is a Professor of Computer Science at the University of Auckland and the Director of the Centre for e-Research, a group that helps researchers tackle challenging computational research. Prior to his current roles, he was the Associate Director of the GeoVISTA Center at Pennsylvania State University for a period of nine years. Mark has an extensive and varied range of research interests including most aspects of geographic information science, geo-visualization, remote sensing, spatial data structures and algorithms, cyber-infrastructure, knowledge representation, and discovery science.",0000-0001-7209-8156,55970397200
Gillian ,Gibb,"Gibb, G",Massey University,School of Natural Sciences,Principal Investigator,Principal Investigator,NA,,2023,"Gillian (Ngati Mutunga) is a senior lecturer in the School of Natural Sciences at Massey University, Palmerston North. Gillian is an evolutionary biologist with research specialties in phylogenetics and genomics. She uses these tools to better understand avian and mammalian species assemblages in both space and time. Her interests lie both in understanding how species are related to each other and also how their underlying genomic makeup informs their biology.",0000-0002-4283-9790,7004092131
William ,Godsoe,"Godsoe, W",Lincoln University,Department of Pest-Management and Conservation,Principal Investigator,Principal Investigator,NA,Artifical Intelligence,2019,"Will Godsoe is a Senior Lecturer in the Department of Pest-Management and Conservation at Lincoln University in New Zealand. Will earned his PhD at the University of Idaho studying the long-term consequences of cooperation and coevolution between plants and insects. He then completed a Post-Doctoral fellowship at the U.S. National Institute for Mathematical and Biological synthesis. Will is an ecologist who seeks to better predict how species will respond to climate change and other environmental disturbances. To do this he integrates insights from other disciplines including evolution, information and game theory.",0000-0003-1697-6916,24281036500
Nick,Golledge,"Golledge, N",Victoria University of Wellington,Antarctic Research Centre,Principal Investigator,Principal Investigator,NA,,2023,"Nick is an Earth scientist primarily researching the Antarctic ice sheet using numerical models and field data. He has been a Rutherford Discovery Fellow, a Lead Author on the Sixth Assessment Report of the Intergovernmental Panel on Climate Change, and currently leads a number of components of the MBIE-funded ‘Antarctic Science Platform’ and ‘Our Changing Coasts’ research programmes.",0000-0001-7676-8970,8598859700
Gina,Grimshaw,"Grimshaw, G",Victoria University of Wellington,School of Psychology,Principal Investigator,Principal Investigator,NA,,2023,"Gina Grimshaw is a cognitive scientist based in the School of Psychology at Te Herenga Waka Victoria University of Wellington. She leads the Cognitive and Affective Neuroscience Lab, where she and her students study the mechanisms that support interactions between cognition (how we think) and affect (how we feel). Much of Gina’s research is conducted in virtual reality, where it is possible to track neural and physiological activity, behaviour and action while people are immersed in emotional situations. She also works to apply principles of cognitive psychology to the public understanding of science and the role of science communication in belief change.
Gina regularly collaborates with computer scientists, engineers, interaction designers, and linguists. She has a keen interest in how humans understand artificial intelligence, and the extent to which new generations of artificial intelligence (AI) might incorporate human mechanisms of cognition and emotion.",0000-0002-1291-1368,7004267866
David ,Hall,"Hall, D",Toha,Climate Policy Director,Principal Investigator,Principal Investigator,NA,,2018,"David Hall is Climate Policy Director at Toha. David’s research interests include climate policy, climate finance, impact investment, migration policy and wider questions in ethics and political theory. He is a prolific writer, contributing to the BWB Texts series, New Zealand Listener, New Zealand Herald, Pantograph Punch, Spinoff, Reading Room Journal and more.",NA,NA
Pauline,Harris,"Harris, P",Massey University,School of Maori Knowledge ,Principal Investigator,Principal Investigator,NA,,2021,"Associate Professor Pauline Harris (Rongomaiwahine, Ngati Rakaipaka, Ngati Kahungunu) has a background in physics centred around gamma ray bursts, high-energy neutrino production and inflationary cosmology. She now focuses on matauranga Maori associated with Maori astronomy and traditional Maori calendars called maramataka. Pauline is extensively involved in the Maori community and is an active member of a number of trust boards. She is currently the Chairperson of the Society of Maori Astronomy Research and Traditions (SMART), where she is dedicated to the collation and the revitalization of Maori astronomical star lore and maramataka.",0000-0002-4413-9499,NA
Emily,Harvey,"Harvey, E",Market Economics,Mathematics,Principal Investigator,Principal Investigator,Complexity,Spreading Processes; Maori Horticulture,2016,"Emily has over 10 years’ experience in quantitative modelling and analysis. In her academic research at the University of Auckland, Montana State University and Massey University Auckland, she developed mathematical models of physiological and ecological systems and used cutting-edge numerical and theoretical analysis to produce new insights and direct future work. At Market Economics, Emily is involved in a wide range of central and local government research and consulting projects including: spatial modelling of economic and environmental systems, simulating impacts of potential policy options, estimating the economic impacts of natural hazard events, and investigating economic resilience to disruptions.",0000-0002-8134-3843,36704525400
David ,Hayman,"Hayman, D",Massey University,Epidemiology and Public Health,Principal Investigator,Principal Investigator,NA,System Change,2019,"David is the Percival Carmine Chair in Epidemiology and Public Health at Massey University. His research interests are in disease ecology and epidemiology of infectious diseases affecting public health and conservation. David has won a prestigious Wellcome Trust Training fellowship in the UK while at Cambridge University, David H Smith Postdoctoral fellowship in the USA, and a Rutherford Discovery Fellowship from the Royal Society Te Aparangi in 2017.",0000-0003-0087-3015,24376017100
Shaun,Hendy,"Hendy, S",Toha,Chief Scientist,Principal Investigator,Principal Investigator,NA,Knowledge Sharing; Kindness in Science,2015,"Shaun Hendy is Chief Scientist at Toha, and was the founder and first director of Te P?naha Matatini from 2015-2021. His interest in the science of complexity stems from a conversation at a lunchtime journal club at Industrial Research Ltd about Geoffrey West’s work on the increase in the number of patents per capita with city size in the United States. Shaun then downloaded an international patent database and found that the difference in patents per capita between Australia and New Zealand could be explained by the difference in population distributions.",0000-0003-3468-6517,6603876052
Kyle,Higham,"Higham, K",Motu,Economic and Public Policy,Principal Investigator,Principal Investigator,NA,Science-policy Interface; Knowledge Sharing,2023,"Kyle Higham is a Fellow at Motu Economic and Public Policy Research. After completing his Te P?naha Matatini-funded PhD program at Victoria University of Wellington, he held postdoctoral positions at Ecole polytechnique federale de Lausanne in Switzerland and Hitotsubashi University in Japan. Kyle’s research interests lie at the intersection of complex systems, innovation, and the science of science, and typically focus on the use of information in technical documents (such as patents and scientific articles) to study knowledge diffusion and innovation outcomes more broadly. With Te P?naha Matatini, he is investigating the quantitative aspects of knowledge exchange between scientists and policymakers.",0000-0002-8287-4101,57193958261
Dan ,Hikuroa,"Hikuroa, D",University of Auckland,Faculty of Arts,Principal Investigator,Principal Investigator,NA,System Change; Maori Horticulture,2015,"Associate Professor Dan Hikuroa (Ngati Maniapoto, Waikato-Tainui, Ngaati Whanaunga) employs earth systems and environmental humanities approaches in his work at Waipapa Taumata Rau the University of Auckland. Dan is an established world expert on weaving Indigenous knowledge and science to realise the dreams of the communities he works with. Dan is UNESCO New Zealand Culture Commissioner, AGU Council member, has key roles within New Zealand’s science research sector and is re-imagining and remembering relationships with te taiao – our environment. Dan is spearheading alternative ways of assessing sustainability, including weaving Indigenous knowledge and epistemologies with science and into legislation, assessment frameworks and decision-support tools.",0000-0002-7340-7106,16241337300
Mckayla,Holloway,"Holloway, M",Cawthorn,Science Communicator,Engagement Community of Inquiry Lead,Strategic Leadership Group,Engagement,,2023,"Mckayla has a background in environmental science and visual communication. She draws on both her technical science and visual communication capabilities to explore innovative ways to communicate science. The audience is central to Mckayla‘s work, by carefully considering who her work is speaking to, she then crafts visual narratives that engage audiences enhancing the transfer of research.",NA,NA
John,Hosking,"Hosking, J",University of Auckland,Dean of Science,Advisory Board,Advisory Board,NA,,2015,John is Dean of Science at the University of Auckland assuming the role in June 2014. Immediately prior to that he was Dean of Engineering and Computer Science at the Australian National University and before that was Professor of Applied Computer Science in the Department of Computer Science at the University of Auckland including a six year term as Head of Department between 1999 and 2005. John’s research career has been in Software Engineering with over 200 publications in his area of expertise and a long history of University-industry research engagement. He has been awarded both an FRSNZ in recognition of his research activities and a National Tertiary Teaching Excellence award reflecting his passion for teaching.,0000-0002-4776-3828,7005154879
Jodie,Hunter,"Hunter, J",Massey University,Institute of Education,Investigator Representative,Strategic Leadership Group,NA,,2023,"Professor Jodie Hunter is a Cook Island New Zealander with a passion for social justice and equity in education. She began her career as a primary school teacher before becoming an academic with an interest in mathematics and Pacific education. Her research interests and expertise include developing early algebraic reasoning, drawing on the funds of knowledge of diverse students and families to develop mathematical tasks, and examining student perspectives including their values and experiences in the classroom. Jodie is currently a Rutherford Discovery Fellow and was previously a Fulbright Research Scholar. She co-leads a large-scale professional development and research project focused on culturally sustaining pedagogy and ambitious teaching in mathematics. This project spans schools across New Zealand, Niue and the Cook Islands.",0000-0001-5463-3709,56461966900
Adam,Jaffe,"Jaffe, A",Motu,Economic and Public Policy,Kairangi,Kairangi,NA,Knowledge Sharing,2015,,0000-0003-1337-1751,7202824688
Alex ,James,"James, A",University of Canterbury,Faculty of Engineering,Principal Investigator,Principal Investigator,NA,Braided Rivers,2015,"With a PhD in combustion engineering, Professor Alex James made the transition from catalytic converters to the rest of the world, where she uses mathematical modelling to solve problems. At heart she’s a mathematical modeller and works on problems from social science to climate change, but her main hobby is ecology. Although Alex says she is no ecologist – “friends had to teach me the difference between beetles and bugs” – she is excited by the contribution mathematics can make to the analysis and study of interactions among organisms and their environment.",0000-0002-1543-7139,55545943200
Rachael,Ka'ai-Mahuta,"Ka'ai-Mahuta, R",Auckland University of Technology,National Maori Language Institute,Principal Investigator,Principal Investigator,NA,Trajectory of te reo Maori; System Change,2016,"Rachael is an Associate Professor in Te Ipukarea Research Institute (previously the National Maori Language Institute) at Auckland University of Technology (AUT). Rachael, who is Maori (Ngati Porou, Ngai Tahu), Hawaiian, Cook Island Maori, and Samoan, completed a PhD in 2010 before commencing at AUT in 2011. Her research interests include the revitalisation of the Maori language, traditions and knowledge, and Indigenous Peoples’ rights and the politics of identity and place, especially in relation to the Indigenous diaspora.",0000-0002-6417-2640,57213193223
David,Kelley,"Kelley, D",University of Auckland,School of Psychology,Committee Member,Te Tira Maurikura,NA,,2018,"David is a recent PhD graduate from the University of Auckland, specialising in the philosophy of science. His current research (in collaboration with fellow Te P?naha Matatini member, Quentin Atkinson) focuses on global collective action problems. David has been a member of TPM Whanau since 2018.",0000-0001-5477-4755,57205731410
Suzi,Kerr,"Kerr, S",Motu,Economic and Public Policy,Kairangi,Kairangi,NA,,2015,,0000-0002-4730-8761,35608276300
Laura,Kranz,"Kranz, L",Victoria University of Wellington,School of Psychology,Committee Member,Te Tira Maurikura,NA,,2021,"Laura Kranz is currently a PhD candidate in Psychology at Te Herenga Waka – Victoria University of Wellington. Her PhD research is a collaboration between the School of Science in Society and the School of Psychology. In her research, she uses tools and methodologies from cognitive psychology to examine questions and issues relevant to the field of science communication. Laura is particularly interested in how different factors – such as trust in science – impacts how people interact with, and believe, information.",0000-0002-3804-0695,56926529300
